reference,title,status,filename,source_url,bytes,notes
21,A Survey of Intelligence Methods in Urban Traffic Signal Control,downloaded,21_A_Survey_of_Intelligence_Methods_in_Urban_Traffic_Signal_Control.pdf,http://paper.ijcsns.org/07_book/200707/20070714.pdf,235101,"PDF verified; title overlap=1.00, similarity=0.11; DOI=not available"
22,A Large-Scale Traffic Signal Control Algorithm Based on Multi-Layer Graph Deep Reinforcement Learning,publisher paywalled or no verified public copy,,,0,"DOI=10.1016/j.trc.2024.104582 | https://doi.org/10.1016/j.trc.2024.104582 -> HTML without matching downloadable PDF | https://api.elsevier.com/content/article/PII:S0968090X24001037?httpAccept=text/xml -> Not PDF (1872 bytes) | https://api.elsevier.com/content/article/PII:S0968090X24001037?httpAccept=text/plain -> curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400 | https://linkinghub.elsevier.com/retrieve/pii/S0968090X24001037 -> HTML without matching downloadable PDF"
24,Adaptive Traffic Signal Control with Deep Reinforcement Learning and High Dimensional Sensory Inputs: Case Study and Comprehensive Sensitivity Analyses,publisher paywalled or no verified public copy,,,0,DOI=10.1109/TITS.2022.3179893 | https://doi.org/10.1109/tits.2022.3179893 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/6979/9942712/09796123.pdf?arnumber=9796123 -> HTML without matching downloadable PDF | https://ieeexplore.ieee.org/document/9796123/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/TITS.2022.3179893 -> HTML without matching downloadable PDF
25,Cooperative Traffic Signal Control Using a Distributed Agent-Based Deep Reinforcement Learning With Incentive Communication,publisher paywalled or no verified public copy,,,0,DOI=10.1109/TITS.2024.3352730 | https://doi.org/10.1109/tits.2024.3352730 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/6979/10621861/10440155.pdf?arnumber=10440155 -> HTML without matching downloadable PDF | https://ieeexplore.ieee.org/document/10440155/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/TITS.2024.3352730 -> HTML without matching downloadable PDF
26,Multi-Agent Deep Reinforcement Learning Collaborative Traffic Signal Control Method Considering Intersection Heterogeneity,publisher paywalled or no verified public copy,,,0,"DOI=10.1016/j.trc.2024.104663 | https://doi.org/10.1016/j.trc.2024.104663 -> HTML without matching downloadable PDF | https://api.elsevier.com/content/article/PII:S0968090X24001840?httpAccept=text/xml -> Not PDF (1894 bytes) | https://api.elsevier.com/content/article/PII:S0968090X24001840?httpAccept=text/plain -> curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400 | https://linkinghub.elsevier.com/retrieve/pii/S0968090X24001840 -> HTML without matching downloadable PDF"
27,Decentralized and Communication-Based Multi-Agent Traffic Signal Control Model Employing a Graph Representation for the State,publisher paywalled or no verified public copy,,,0,DOI=10.1109/TITS.2025.3548945 | https://doi.org/10.1109/tits.2025.3548945 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx8/6979/10988578/10932663.pdf?arnumber=10932663 -> HTML without matching downloadable PDF | https://ieeexplore.ieee.org/document/10932663/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/TITS.2025.3548945 -> HTML without matching downloadable PDF
29,Multiagent Reinforcement Learning With Heterogeneous Graph Attention Network,publisher paywalled or no verified public copy,,,0,DOI=10.1109/TNNLS.2022.3215774 | https://doi.org/10.1109/tnnls.2022.3215774 -> HTML without matching downloadable PDF | https://pubmed.ncbi.nlm.nih.gov/36331648 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/5962385/10273172/09940201.pdf?arnumber=9940201 -> HTML without matching downloadable PDF | https://ieeexplore.ieee.org/document/9940201/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/TNNLS.2022.3215774 -> HTML without matching downloadable PDF
35,"Continuous Delivery: Reliable Software Releases Through Build, Test, and Deployment Automation",paid copyrighted item,,https://www.informit.com/store/continuous-delivery-reliable-software-releases-through-9780321770424,0,Paid copyrighted commercial book. The workflow records the official purchase page but does not download an unauthorized copy.
36,Research for Practice: The DevOps Phenomenon,not downloaded,,,0,"DOI=10.1145/3331138 | https://dl.acm.org/doi/pdf/10.1145/3331138 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://cacm.acm.org/magazines/2019/8/238341-research-for-practice-the-devops-phenomenon/fulltext -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://publications.hnu.de/1492/ -> HTML without matching downloadable PDF | https://digitalcollection.zhaw.ch/handle/11475/25485 -> HTML without matching downloadable PDF | https://doi.org/10.1145/3331138 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://mediatum.ub.tum.de/1516409 -> HTML without matching downloadable PDF | https://dl.acm.org/doi/10.1145/3331138 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403"
39,CityLight: A Neighborhood-Inclusive Universal Model for Coordinated City-Scale Traffic Signal Control,downloaded,39_CityLight_A_Neighborhood_Inclusive_Universal_Model_for_Coordinated_City_Scale_Traffic_Signal_Control.pdf,https://arxiv.org/pdf/2406.02126,1083222,"PDF verified; title overlap=1.00, similarity=0.20; DOI=10.1145/3746252.3761285"
43,First Steps Towards Real-World Traffic Signal Control Optimisation by Reinforcement Learning,not downloaded,,,0,"DOI=10.1080/17477778.2024.2364715 | https://www.tandfonline.com/doi/pdf/10.1080/17477778.2024.2364715?download=1 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://www.tandfonline.com/doi/epdf/10.1080/17477778.2024.2364715?needAccess=true -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://www.tandfonline.com/doi/pdf/10.1080/17477778.2024.2364715?needAccess=true -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://doi.org/10.1080/17477778.2024.2364715 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | http://hdl.handle.net/10.1080/17477778.2024.2364715 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://publica.fraunhofer.de/handle/publica/471235 -> HTML without matching downloadable PDF | https://www.tandfonline.com/doi/pdf/10.1080/17477778.2024.2364715 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://www.tandfonline.com/doi/full/10.1080/17477778.2024.2364715 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403"
